"","municipio_regiao"
"1","Abatiá/RGI de Santo Antônio da Platina"
"2","Adrianópolis/RGI de Curitiba"
"3","Agudos do Sul/RGI de Curitiba"
"4","Almirante Tamandaré/RGI de Curitiba"
"5","Altamira do Paraná/RGI de Campo Mourão"
"6","Alto Paraíso/RGI de Umuarama"
"7","Alto Paraná/RGI de Paranavaí"
"8","Alto Piquiri/RGI de Umuarama"
"9","Altônia/RGI de Umuarama"
"10","Alvorada do Sul/RGI de Londrina"
"11","Amaporã/RGI de Paranavaí"
"12","Ampére/RGI de Francisco Beltrão"
"13","Anahy/RGI de Cascavel"
"14","Andirá/RGI de Santo Antônio da Platina"
"15","Ângulo/RGI de Maringá"
"16","Antonina/RGI de Paranaguá"
"17","Antônio Olinto/RGI de União da Vitória"
"18","Apucarana/RGI de Apucarana"
"19","Arapongas/RGI de Londrina"
"20","Arapoti/RGI de Ponta Grossa"
"21","Arapuã/RGI de Ivaiporã"
"22","Araruna/RGI de Campo Mourão"
"23","Araucária/RGI de Curitiba"
"24","Ariranha do Ivaí/RGI de Ivaiporã"
"25","Assaí/RGI de Londrina"
"26","Assis Chateaubriand/RGI de Toledo"
"27","Astorga/RGI de Maringá"
"28","Atalaia/RGI de Maringá"
"29","Balsa Nova/RGI de Curitiba"
"30","Bandeirantes/RGI de Cornélio Procópio - Bandeirantes"
"31","Barbosa Ferraz/RGI de Campo Mourão"
"32","Barra do Jacaré/RGI de Santo Antônio da Platina"
"33","Barracão/RGI de Francisco Beltrão"
"34","Bela Vista da Caroba/RGI de Francisco Beltrão"
"35","Bela Vista do Paraíso/RGI de Londrina"
"36","Bituruna/RGI de União da Vitória"
"37","Boa Esperança/RGI de Campo Mourão"
"38","Boa Esperança do Iguaçu/RGI de Dois Vizinhos"
"39","Boa Ventura de São Roque/RGI de Pitanga"
"40","Boa Vista da Aparecida/RGI de Cascavel"
"41","Bocaiúva do Sul/RGI de Curitiba"
"42","Bom Jesus do Sul/RGI de Francisco Beltrão"
"43","Bom Sucesso/RGI de Apucarana"
"44","Bom Sucesso do Sul/RGI de Pato Branco"
"45","Borrazópolis/RGI de Apucarana"
"46","Braganey/RGI de Cascavel"
"47","Brasilândia do Sul/RGI de Umuarama"
"48","Cafeara/RGI de Londrina"
"49","Cafelândia/RGI de Cascavel"
"50","Cafezal do Sul/RGI de Umuarama"
"51","Califórnia/RGI de Apucarana"
"52","Cambará/RGI de Santo Antônio da Platina"
"53","Cambé/RGI de Londrina"
"54","Cambira/RGI de Apucarana"
